სათაური,ფასი,წიგნის სურათის ლინკი
ქართული დიპლომატია - წელიწდეული 20 ტომი,20 ₾,https://apiv1.biblusi.ge/storage/book/LinJJOzuqMBVmVyFrF1T7BpiIG0sz9C8lQfUSu5C.jpg
შენთვის და შენზე,15 ₾,https://apiv1.biblusi.ge/storage/book/T38yWHHbhLCmbSbr6bH5NIVY1C9QGvIODqJAyCyL.jpg
ილუზიების მატარებელი,15 ₾,https://apiv1.biblusi.ge/storage/book/HhZLcYnAT03PDcvYDU4UD4g6kXHRQFZpKz9ugIPQ.jpg
საქართველო ევროპულ მინიატურულ რუკებზე,61.95 ₾,https://apiv1.biblusi.ge/storage/book/bnYeZ6H63OQpL9xllDEPyvVtMIlUG35rrQ5rt4fb.jpg
ვიბრამები,15 ₾,https://apiv1.biblusi.ge/storage/book/ct4EbUJqQ0BD8jtdawiNrVlrJTcvbZqDle6HOyzC.jpg
ჩემი ადამიანი,11.95 ₾,https://apiv1.biblusi.ge/storage/book/yZOE7uY3ejIYs4g2Or12drcLxyFx1yIA89Ykxmbh.jpg
მე ვარ ლენი ბრაუნი,12.95 ₾,https://apiv1.biblusi.ge/storage/book/JGh7gMRGEfAdG4eNTmDbtsPVEHPUJ9WW9GmggEv9.jpg
ადამიანის ორგანიზმი ქრისტინა პარაბონი,34.95 ₾,https://apiv1.biblusi.ge/storage/book/Q3KH82MOZ08MWEHfkqW9s6PMokh64TwM0TANIAv3.jpg
სპარსული წერილები,11.9 ₾,https://apiv1.biblusi.ge/storage/book/SgI8fzkfPhw2whoFntfFKHoFcSVVU7MSG14Oydix.jpg
ეგებ ოდესმე,16.95 ₾,https://apiv1.biblusi.ge/storage/book/Z7g8YNARZ218Mp9kk0KYEcvlKiIXOjIVTEOXczAz.jpg
მაკბეტი უილიამ შექსპირი,29.95 ₾,https://apiv1.biblusi.ge/storage/book/wpOBTDQSQSWR0CpLzZ61kSZiTqWtsDyX8xG8tXv8.png
დეიზი ჯოუნსი და ექვსეული,16.95 ₾,https://apiv1.biblusi.ge/storage/book/rgo21ZV2Bdq0lpXCoTla89OuK99RgzdiXhf7aETo.png
ბრენდა რალფ ლუისი - ჩერჩილი,23.95 ₾,https://apiv1.biblusi.ge/storage/book/Obf7JfUCvJDH25GtB9iqsclaPKgVK9Nh7FpVUKoI.jpg
არგონავტები,20.9 ₾,https://apiv1.biblusi.ge/storage/book/6BMKFrSmKA4weP6bVcdGTsPMF3guAosq9rM0leb1.jpg
ბიჭი ზოლიან პიჟამაში,13.9 ₾,https://apiv1.biblusi.ge/storage/book/Spi5T8TDkuGb3AfkDcVSQ75ehSac0NTMvbfuYkUa.jpg
სხვა სახელი სეპტოლოგია I-II,25.9 ₾,https://apiv1.biblusi.ge/storage/book/FcPgYzHmXZIaR0b7fTrKHhMxTbgWEPE70r33nYPj.jpg
აკადემია-რატომ ვერ აღწევენ წარმატებას სახელმწიფოები,29.9 ₾,https://apiv1.biblusi.ge/storage/book/6zR1DduAJGP4AInmArj7YptezDzrCjiLGj9M3Lzr.jpg
სალამურას თავგადასავალი,26.9 ₾,https://apiv1.biblusi.ge/storage/book/K4TEbr4ZwxNKtotxNriBL3Fr36txPo9Q4DTVJ0mO.jpg
7 მე მიყვარს კითხვა - ბატი და ბუტი,7.9 ₾,https://apiv1.biblusi.ge/storage/book/ItPiHRrSeCLzd3OdloKOGUffDvoWJWdMcupaOyMn.jpg
ავსულნი,30.9 ₾,https://apiv1.biblusi.ge/storage/book/bvpsdcAOFx9QODs949YOJGhOzHqPWxorQE1FQN81.jpg
ასა ჰელი მოგზაურის ქრონიკები,26.95 ₾,https://apiv1.biblusi.ge/storage/book/B4mgMnsfxA1OGltQScLpn0JZCIQ4V6JY3UvJmEv4.jpg
ახალგაზედა მკითხველისთვის-ყვავილები ელჯერნონისთვის,14.9 ₾,https://apiv1.biblusi.ge/storage/book/ZobmxiXl2LSOKbsJIQaLhaP3DFlFwTjnQcX32djc.jpg
მხიარული მატარებელი და სხვა ამბები,15.95 ₾,https://apiv1.biblusi.ge/storage/book/imxf8H4hhYRiCTzsLHqrcnsIHaHWuo1g23eYZ0Ds.jpg
პლანეტა დედამიწა,27.97 ₾,https://apiv1.biblusi.ge/storage/book/p0JMnBrLIs1tUaMmqwUYvwjvHIcNOA0LIAtTyJ6c.jpg
არგონავტები,20.9 ₾,https://apiv1.biblusi.ge/storage/book/6BMKFrSmKA4weP6bVcdGTsPMF3guAosq9rM0leb1.jpg
სახლი მანგოს ქუჩაზე,12.9 ₾,https://apiv1.biblusi.ge/storage/book/i8roUGns6jmbcZlHeNOfsg7CfOXixKMuvn5S8ojT.jpg
მუსიკა ამბოხის სირცხვილისა და მითვისების ისტორია,37.9 ₾,https://apiv1.biblusi.ge/storage/book/zN91YGUsdifXHuhHPxyWi2V6zp0eiPecSUPuPWZG.jpg
სანტა ესპერანსა რვეულები ჩანთით,64.9 ₾,https://apiv1.biblusi.ge/storage/book/3HB030xEyOKDWBNrkqWUu0PGNZnitE7gdrFyqtgA.jpg
ტანჟერული სიზმარი,22.9 ₾,https://apiv1.biblusi.ge/storage/book/SRlLyEFLZPLuuQAwlR90695GfqxViBrRRyGwMTmv.jpg
ტალღა,13.9 ₾,https://apiv1.biblusi.ge/storage/book/lwlPcEbdQY1FXRZMbHwOEiMryN4NnDX6G0Qb1BUk.jpg
მკვდარი სახლის ჩანაწერები,11.9 ₾,https://apiv1.biblusi.ge/storage/book/JnPUhTQegbYA8Fpx0sBlMAzx0MYYRINigIAzysvp.jpg
8 მე მიყვარს კითხვა -სოფის ფათერაკები,8.9 ₾,https://apiv1.biblusi.ge/storage/book/JWVS06Y2Lc3grHnYk4kSdKm3x9jawOPC8r8uMWSJ.jpg
თეთრი დათვი და მურა დათვი,15.95 ₾,https://apiv1.biblusi.ge/storage/book/Pdnnpg2nTu86FbYxtHCUAQrhlAm0n5IST7wVDGme.jpg
"ფილოსოფია ,ხელოვნება",10 ₾,https://apiv1.biblusi.ge/storage/book/mmmt2q196oQreN59diM1sxlWzP6r9vK6m4NGUWI8.jpg
ეგოიზმი ფილოსოფიაში2024,12 ₾,https://apiv1.biblusi.ge/storage/book/Lhz95bqMiYZepBJLGsssHBJ2AsHoMjoIi0MwYGAQ.jpg
7 მე მიყვარს კითხვა - ზღაპრად ქცეული ამბები,7.9 ₾,https://apiv1.biblusi.ge/storage/book/C0tIbTltqihSnc0BWEjLTQ07VqPhYCbAK8Ejxvc9.jpg
ფილოსოფია,20 ₾,https://apiv1.biblusi.ge/storage/book/5SzciHh8cb7htO0DTmT9cZOtUBnFUyqpoDNYh3DJ.png
NARUTO 15,25.99 ₾,https://apiv1.biblusi.ge/storage/book/uUdlYDU2N4Qi3qhRp2hLcFgd9X75DY0I50DWbsl5.png
FULLMETAL ALCHEMIST 02,25.99 ₾,https://apiv1.biblusi.ge/storage/book/MY34KiddmUsrIgqS0xWvGIAmFqC9JVfiHurXXV2H.png
CHAINSAW MAN VOL. 11,25.99 ₾,https://apiv1.biblusi.ge/storage/book/dbCRyJHvIsrvqG8mxipozUSfbBxdXg6yyJAq2E4T.png
SPY X FAMILY VOL. 3,25.99 ₾,https://apiv1.biblusi.ge/storage/book/6WRKWYBowpOC0Qoo4GmiA02UlAbrtoITsupHSQrx.png
CHAINSAW MAN VOL. 08,25.99 ₾,https://apiv1.biblusi.ge/storage/book/XBgqYx33ja3m9ZbKVAWF1HpsZjLjvK18D4vIqcMc.png
SPY X FAMILY VOL. 5,25.99 ₾,https://apiv1.biblusi.ge/storage/book/TiD9SlBOKc4cn1dhOBXmL4b4r2bw4j2m7kWdGpGT.png
ONE-PUNCH MAN VOL. 07,25.99 ₾,https://apiv1.biblusi.ge/storage/book/co4pCFMGmAIWIGaXQLcnrbW1wMMYVz6DozwujNBE.png
death note manga 9,25.99 ₾,https://apiv1.biblusi.ge/storage/book/aUWE4pkIvGUdgzeFN4QTQ4JCuNYH0fzuGbVJl8El.png
ONE PIECE VOL. 13,29.99 ₾,https://apiv1.biblusi.ge/storage/book/tCdt9rvatvWBoX5rMkGpdPiAR0k9s124FhPzLkiO.png
NARUTO 14,25.99 ₾,https://apiv1.biblusi.ge/storage/book/8fM9N67vv51YbpjDB8F6jLN2wwMJsttzQQloJ8j0.png
CHAINSAW MAN VOL. 05,25.99 ₾,https://apiv1.biblusi.ge/storage/book/A3mJhwt08O52WKw8LxpFFeZhg3ixWSklIETxM51I.png
"Spy x Family, Vol. 4 (4)",25.99 ₾,https://apiv1.biblusi.ge/storage/book/YLrlpXsowonQyjBPODo2ExhIxgse9XWAEk49erj3.png
death note manga 8,25.99 ₾,https://apiv1.biblusi.ge/storage/book/Et7jT6hJu3NAUmCUrRG9dMvHblpgcgDDPvtXAleI.png
NARUTO 18,25.99 ₾,https://apiv1.biblusi.ge/storage/book/1cgl6IQM40rVF4mFXOKePXP13GxGuCIkuXaJcfhX.png
